id,longitude,latitude,EVI_mean,Map_world_cover,NDVI_mean,Presence,RIX,aspect,bio02,bio06,bio07,bio08,bio14,bio15,bio19,corr,cov,cti,elevation,entropy,geom,homogeneity,pielou,power_density_10,random,range,slope,spi,tpi,vrm,wind_speed_50,world_cover_Bare_sparse_vegetation,world_cover_Cropland,world_cover_Grassland,world_cover_Shrubland,world_cover_Tree_cover
57,69.77452,42.87692,0.20669999718666077,30,0.29649999737739563,1,0.028117025271058083,101.82551837988336,129,-88,421,116,3,58,140,3890,1748,-3.311155319213867,610,29674,3,2049,9555,423.6778259277344,0.9802082409802243,1979,18.87411880493164,0.005504042375832796,14.109039306640625,0.011971672996878624,6.9572858810424805,0,0,1,0,0
58,69.88046,43.596149,0.13950000703334808,30,0.21080000698566437,1,0,180,130,-100,437,113,2,59,82,2442,698,5.388805389404297,484,24980,10,4783,8884,112.03619384765625,0.4858220325587622,514,1.8726543188095093,0.6587104201316833,-2.606238603591919,0.0006175194284878671,5.496063709259033,0,0,1,0,0
59,69.449749,43.632805,0.11959999799728394,60,0.187950000166893,1,0.023025235161185265,230.4032678150174,131,-103,440,111,2,60,75,1809,1239,-3.121403932571411,545,27099,5,3353,9375,34.36953353881836,0.4217954320636601,922,20.705957412719727,0.006690420676022768,-0.5696048736572266,0.007047650404274464,4.670924663543701,0.2222222222222222,0,0.7777777777777777,0,0
60,68.004941,43.733736,0.1898999959230423,30,0.29864999651908875,1,0,111.25937886958367,132,-110,449,109,2,58,71,266,378,-0.744631290435791,482,19088,9,6154,8345,87.80926513671875,0.7581143508306049,301,3.659075975418091,0.020094459876418114,-1.3789622783660889,0.0017308869864791632,5.148611068725586,0,0,1,0,0
62,67.721057,43.9287 ,0.1546500027179718,30,0.23395000398159027,1,0.060619935393333435,0,130,-115,452,106,2,57,67,385,1480,-2.8580844402313232,479,27859,6,2632,9440,213.98504638671875,0.6177393277116947,983,20.56768226623535,0.008520440198481083,7.442832946777344,0.0063263168558478355,5.80971097946167,0,0,0.7777777777777777,0,0.2222222222222222
63,67.629676,44.038105,0.12134999781847,30,0.21209999918937683,1,0,289.77055079818246,129,-116,455,106,3,53,65,3531,1894,5.4948859214782715,461,26897,9,3736,9317,277.8973693847656,0.2708777727539521,1178,2.292217969894409,0.573196291923523,-2.037982940673828,0.0010696164099499583,6.969737529754639,0,0,1,0,0
64,69.335820,43.656420,0.12380000203847885,30,0.17810000479221344,1,0,167.99509097582126,131,-101,440,113,2,62,70,1784,514,-1.7097768783569336,480,23302,6,5696,9305,98.07515716552734,0.49694857668574377,326,5.10114049911499,0.0018469023052603006,2.0772414207458496,0.0009598837932571769,4.786437511444092,0,0,1,0,0
65,69.782718,43.218971,0.26785001158714294,30,0.4030500054359436,1,0.10689055919647217,4.45821361692051,127,-116,425,89,5,56,125,2578,1895,-4.047388076782227,1117,29219,6,1422,9732,809.3408203125,0.6274896029165838,2133,22.545875549316406,0.0031967023387551308,14.149028778076172,0.03621411323547363,9.44548511505127,0,0,1,0,0
66,69.817203,43.001569,0.2732999920845032,30,0.4242999851703644,1,0.12273865193128586,299.74151798127855,128,-102,422,101,4,57,138,3758,1489,-3.684755563735962,828,29607,6,1733,9649,1231.5179443359375,0.6592482714207302,1825,22.065431594848633,0.0048379297368228436,3.941692590713501,0.019436843693256378,8.289267539978027,0,0,1,0,0
67,70.947306,42.891703,0.13500000536441803,30,0.21424999833106995,1,0,196.5267702008932,126,-90,419,117,4,51,104,1328,828,-0.5411404967308044,624,27317,9,3830,9446,85.90837097167969,0.3465752748176987,1040,6.084936618804932,0.008570596575737,-5.3733906745910645,0.0013963839737698436,3.252868413925171,0,0,1,0,0
68,70.94396,42.81662,0.18025000393390656,30,0.2805500030517578,1,0,124.87074640454357,126,-92,418,114,5,50,109,2568,398,2.512303590774536,743,23018,7,5559,9079,165.23599243164062,0.39282267506534196,405,7.022480487823486,0.325608491897583,-0.04926232993602753,0.002877932507544756,4.014664173126221,0,0,1,0,0
69,70.152725,43.655192,0.09960000216960907,30,0.14900000393390656,1,0,176.04672138318108,130,-96,438,119,2,56,75,757,639,-0.05764765664935112,357,21201,7,5865,8408,67.5020523071289,0.8747508240733854,470,6.041580677032471,0.021008148789405823,-0.5113150477409363,0.000558104773517698,4.528797149658203,0,0,1,0,0
70,69.883877,43.514431,0.15240000188350677,30,0.24435000121593475,1,0.027721596881747246,196.30401851084767,129,-103,434,108,3,56,89,50,878,3.503382444381714,548,26541,9,4141,9124,53.70375061035156,0.9222103800185527,715,6.746612548828125,0.5817241668701172,-8.028620719909668,0.008859240449965,5.311686992645264,0,0,1,0,0
71,69.80069,43.543433,0.19359999895095825,30,0.2879500091075897,1,0.0005846925196237862,274.8741797837154,129,-106,434,105,3,58,88,3173,990,-2.3817012310028076,609,26488,5,3097,9150,101.9319076538086,0.36218151227928286,824,14.084330558776855,0.02471957542002201,-1.1221450567245483,0.004135060124099255,5.482085704803467,0,0,1,0,0
72,68.981953,43.442301 ,0.22759999334812164,30,0.33265000581741333,1,0.025820106267929077,47.43983681848251,132,-103,437,109,2,60,85,1348,1251,-3.0180420875549316,643,27996,6,2731,9182,91.42474365234375,0.798842083165019,1334,10.632083892822266,0.009057248942553997,15.89835262298584,0.008850584737956524,6.374780654907227,0,0,1,0,0
73,68.873615,43.470684,0.17260000109672546,30,0.2706499993801117,1,0.05888162925839424,106.68637337313285,130,-113,437,98,3,58,90,1055,533,-3.7305188179016113,709,25770,5,4448,9566,447.3374328613281,0.29833838918098476,452,25.946237564086914,0.005935723893344402,3.1120078563690186,0.00494822021573782,7.793381214141846,0,0,1,0,0
75,69.71958,43.06214,0.2687000036239624,30,0.41440001130104065,1,0.03943009674549103,162.6636087711223,129,-94,426,112,3,59,125,1882,775,0.7373313903808594,605,26597,9,3735,9031,789.60595703125,0.9392982486019695,775,13.019973754882812,2.7881534099578857,-10.486893653869629,0.013517584651708603,8.17632007598877,0,0,1,0,0
77,69.746684,42.78743,0.3319000005722046,30,0.4841499924659729,1,0.04369908571243286,264.6477421568552,129,-88,419,114,3,58,151,1214,1052,-2.849224328994751,750,28598,5,1881,9578,574.028076171875,0.8101545011815455,1417,23.08738136291504,0.012475800700485706,0.3752557337284088,0.006472885608673096,6.091499328613281,0,0,1,0,0
78,69.127344,43.399957,0.1910499930381775,30,0.2876499891281128,1,0.023172229528427124,304.6496532090609,131,-102,435,108,2,61,90,4710,1404,-3.539093017578125,621,28588,6,3089,9544,391.016845703125,0.6982875458356034,1070,15.703189849853516,0.0025891046971082687,7.926062107086182,0.009613607078790665,7.796281814575195,0.2222222222222222,0,0.7777777777777777,0,0
79,69.764325,42.991164,0.2078000009059906,30,0.29600000381469727,1,0.09085436910390854,62.153514210471876,130,-83,425,53,2,60,123,2200,1058,-3.641479253768921,665,28946,6,2055,9595,1288.5369873046875,0.39905350830657427,1332,14.044890403747559,0.001839958829805255,31.5941219329834,0.04879973828792572,8.944074630737305,0,0,1,0,0
